step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
1000,0.0002981661167872657,1.4298694133758545,1.6117347167468918,1.3974052667617798,0.23344872891902924,182634.47919830508,10.765108585357666
1010,0.00029809205331318353,1.3879588544368744,1.6005459236313908,1.3802533149719238,0.24183370172977448,183017.05793755534,10.742605209350586
1020,0.00029801653436572963,1.3238622844219208,1.5867117416709173,1.3780148029327393,0.23596353828907013,184272.48402357422,10.669417142868042
1030,0.000297939560770767,1.3458831012248993,1.5746703096486163,1.3707489967346191,0.2256765365600586,184259.86398665555,10.670147895812988
1040,0.0002978611333700665,1.3375132977962494,1.562812459055998,1.385359525680542,0.22289840877056122,183892.82078914536,10.691445112228394
1050,0.0002977812530212978,1.2814988195896149,1.5487467770826788,1.3675987720489502,0.23923134803771973,184143.51585357022,10.676889657974243
1060,0.0002976999205980195,1.3616933822631836,1.539394107341704,1.3512117862701416,0.25453728437423706,184048.9147532831,10.682377576828003
1070,0.00029761713698966985,1.2792260646820068,1.526385705208719,1.3696647882461548,0.22693052887916565,183668.4408452109,10.704506397247314
1080,0.00029753290310155733,1.360998958349228,1.5181163678657446,1.3553625345230103,0.2722261846065521,183465.3815876057,10.716354131698608
1090,0.00029744721985485004,1.2906244397163391,1.5067417714582743,1.353887915611267,0.24621331691741943,184023.69243458344,10.683841705322266
1100,0.00029736008818656643,1.338221937417984,1.4983157797562596,1.3532307147979736,0.21364222466945648,182709.663800935,10.760678768157959
1110,0.0002972715090495643,1.309906393289566,1.4888953104329248,1.3567841053009033,0.22451575100421906,183296.51160103222,10.726227045059204
1120,0.000297181483412531,1.3759079575538635,1.4832459427889717,1.3668956756591797,0.24700479209423065,181052.4245941779,10.859175205230713
1130,0.0002970900122599725,1.3413415551185608,1.4761507234054512,1.3467967510223389,0.25309211015701294,182293.79368113226,10.785227298736572
1140,0.00029699709659220257,1.3423726856708527,1.4694618215187212,1.3454211950302124,0.21940383315086365,183918.25335922567,10.689966678619385
1150,0.0002969027374253321,1.277331918478012,1.4598553263666858,1.3449211120605469,0.22334179282188416,183924.25468323578,10.68961787223816
1160,0.00029680693579125784,1.3378231525421143,1.4537537176754571,1.3313560485839844,0.23111137747764587,184348.80516008896,10.664999961853027
1170,0.00029670969273765113,1.3088603913784027,1.4465090513606045,1.3295824527740479,0.24064716696739197,184335.26402029634,10.665783405303955
1180,0.00029661100932794636,1.3335309624671936,1.440860146915934,1.3210963010787964,0.20338664948940277,184255.8457015356,10.670380592346191
1190,0.0002965108866413296,1.3434395492076874,1.4359891170305215,1.3297088146209717,0.25632089376449585,184267.29580567268,10.66971755027771
1200,0.00029640932577272637,1.3423115909099579,1.4313052407244933,1.3159736394882202,0.20572280883789062,184262.4125595418,10.670000314712524
1210,0.00029630632783279014,1.3260508179664612,1.4260425195865916,1.3271660804748535,0.21346214413642883,184372.16273766485,10.663648843765259
1220,0.00029620189394788984,1.3359048664569855,1.4215356369301113,1.3291821479797363,0.21089161932468414,184208.14196000976,10.673143863677979
1230,0.00029609602526009776,1.3040216863155365,1.4156599393993825,1.3028604984283447,0.21157394349575043,184224.38068467367,10.672203063964844
1240,0.00029598872292717685,1.3566942512989044,1.4127116549943586,1.31234872341156,0.2036258429288864,184367.6160574184,10.663911819458008
1250,0.0002958799881225683,1.2486574053764343,1.4045089425134623,1.3199214935302734,0.21581465005874634,184425.27203505056,10.66057801246643
1260,0.00029576982203537844,1.3193399310112,1.4002504919383492,1.2996751070022583,0.21726031601428986,184441.59856954683,10.659634351730347
1270,0.000295658225870366,1.2989552021026611,1.3951857274465649,1.2998689413070679,0.20828793942928314,184439.79582638264,10.659738540649414
1280,0.0002955452008479287,1.2713447213172913,1.3889936771401012,1.2962340116500854,0.21247243881225586,184540.89046804715,10.65389895439148
1290,0.00029543074820409016,1.310187816619873,1.3850533841140897,1.2917191982269287,0.20210810005664825,184453.32757374566,10.658956527709961
1300,0.0002953148691904861,1.2625957429409027,1.3789305020554303,1.3051670789718628,0.19505228102207184,184486.1255444087,10.657061576843262
1310,0.00029519756507435084,1.3208370804786682,1.376025830976592,1.3129702806472778,0.22158674895763397,176630.28447900747,11.131047010421753
1320,0.0002950788371385034,1.2474991977214813,1.3695994993138365,1.290195107460022,0.19996823370456696,175958.3809580446,11.173551321029663
1330,0.00029495868668133354,1.2768543362617493,1.364962241161232,1.284596562385559,0.2182118445634842,177568.92730962165,11.0722074508667
1340,0.0002948371150167874,1.2997108399868011,1.3616996711025107,1.2935782670974731,0.2217293679714203,177557.4572400302,11.072922706604004
1350,0.0002947141234743531,1.246239811182022,1.3559266781064863,1.293203592300415,0.21942879259586334,177666.32965421505,11.066137313842773
1360,0.00029458971339904654,1.2889991998672485,1.3525803041945241,1.269013524055481,0.20243370532989502,181772.99250167471,10.816128253936768
1370,0.0002944638861513963,1.2515297830104828,1.3475277781353219,1.2800827026367188,0.1902969628572464,184654.37563532524,10.647351264953613
1380,0.00029433664310742915,1.2418503761291504,1.3422439080350133,1.287084937095642,0.20642513036727905,184659.73867124904,10.647042036056519
1390,0.00029420798565865446,1.2532089948654175,1.3377921623765334,1.2821468114852905,0.20504328608512878,184519.42237713325,10.655138492584229
1400,0.00029407791521204966,1.24886092543602,1.3333456005295077,1.2600090503692627,0.209787055850029,184609.2508134922,10.649953842163086
1410,0.0002939464331900441,1.2920188307762146,1.331279262041843,1.2704211473464966,0.1912863850593567,184568.87379093978,10.652283668518066
1420,0.0002938135410305043,1.2451924681663513,1.3269749223480682,1.2812328338623047,0.21636345982551575,184615.8842178433,10.649571180343628
1430,0.00029367924018671755,1.2841061353683472,1.3248314829990822,1.2765183448791504,0.19465422630310059,184542.67866865624,10.653795719146729
1440,0.0002935435321273763,1.2973018884658813,1.323455003272422,1.2625445127487183,0.1998864710330963,184437.66310709374,10.65986180305481
1450,0.0002934064183365622,1.2783262133598328,1.3211985637767925,1.2774664163589478,0.20223994553089142,184386.5874622337,10.662814617156982
